ModelNumber;LayerShapes;WindowSize;WindowOverlap;MetaFeature
1;[50,100,200,100,50];8;2;False
2;[50,100,200,100,50];8;2;True
3;[50,100,200,100,50];8;4;False
4;[50,100,200,100,50];8;4;True
5;[50,100,200,100,50];8;6;False
6;[50,100,200,100,50];8;6;True
7;[50,100,200,100,50];8;7;False
8;[50,100,200,100,50];8;7;True
9;[200,400,800,400,200];96;24;False
10;[200,400,800,400,200];96;24;True
11;[200,400,800,400,200];96;48;False
12;[200,400,800,400,200];96;48;True
13;[200,400,800,400,200];96;72;False
14;[200,400,800,400,200];96;72;True
